# DigitalBank France - API Access Logs
# Period: 2025-12-01 to 2025-12-08
# Format: timestamp | ip_address | endpoint | http_method | status_code
# ---------------------------------------------------------

2025-12-01 08:15:25 | 192.168.1.100 | /api/accounts | GET | 200
2025-12-01 08:15:30 | 192.168.1.100 | /api/transactions | GET | 200
2025-12-01 08:20:50 | 192.168.1.101 | /api/accounts/balance | GET | 200
2025-12-01 08:21:00 | 192.168.1.101 | /api/transactions/history | GET | 200
2025-12-01 09:05:15 | 192.168.1.102 | /api/cards | GET | 200
2025-12-01 09:30:05 | 45.123.45.67 | /api/admin/users | GET | 403
2025-12-01 09:30:10 | 45.123.45.67 | /api/admin/config | GET | 403
2025-12-01 09:30:15 | 45.123.45.67 | /api/admin/database | GET | 403
2025-12-01 09:30:20 | 45.123.45.67 | /api/admin/logs | GET | 403
2025-12-01 09:30:25 | 45.123.45.67 | /api/admin/system | GET | 403
2025-12-01 09:30:30 | 45.123.45.67 | /api/admin/backup | GET | 403
2025-12-01 09:30:35 | 45.123.45.67 | /api/users/1 | GET | 401
2025-12-01 09:30:40 | 45.123.45.67 | /api/users/2 | GET | 401
2025-12-01 09:30:45 | 45.123.45.67 | /api/users/3 | GET | 401
2025-12-01 09:30:50 | 45.123.45.67 | /api/customers/1 | GET | 401
2025-12-01 10:15:35 | 192.168.1.103 | /api/accounts | GET | 200
2025-12-01 10:15:40 | 192.168.1.103 | /api/cards/status | GET | 200
2025-12-01 11:20:05 | 89.234.56.78 | /api/auth/login | POST | 401
2025-12-01 11:20:10 | 89.234.56.78 | /api/auth/login | POST | 401
2025-12-01 11:20:15 | 89.234.56.78 | /api/auth/login | POST | 401
2025-12-01 11:20:20 | 89.234.56.78 | /api/accounts/1/transactions | GET | 401
2025-12-01 11:20:25 | 89.234.56.78 | /api/accounts/2/transactions | GET | 401
2025-12-01 11:20:30 | 89.234.56.78 | /api/accounts/3/transactions | GET | 401
2025-12-01 14:30:05 | 192.168.1.104 | /api/transactions | GET | 200
2025-12-01 15:45:25 | 192.168.1.105 | /api/accounts/balance | GET | 200

2025-12-02 07:00:05 | 101.202.45.88 | /api/admin | GET | 404
2025-12-02 07:00:10 | 101.202.45.88 | /api/admin/users | GET | 403
2025-12-02 07:00:15 | 101.202.45.88 | /api/admin/settings | GET | 403
2025-12-02 07:00:20 | 101.202.45.88 | /api/database/export | GET | 403
2025-12-02 07:00:25 | 101.202.45.88 | /api/system/info | GET | 403
2025-12-02 08:10:05 | 192.168.1.100 | /api/accounts | GET | 200
2025-12-02 08:25:35 | 192.168.1.101 | /api/transactions/search | POST | 200
2025-12-02 09:15:05 | 192.168.1.106 | /api/cards | GET | 200
2025-12-02 10:30:10 | 192.168.1.107 | /api/accounts/balance | GET | 200
2025-12-02 11:45:05 | 45.123.45.67 | /api/users | GET | 401
2025-12-02 11:45:10 | 45.123.45.67 | /api/customers/export | GET | 403
